Vd	Id
0.022	0.0000000004
0.037	0.0000000008
0.049	0.0000000017
0.092	0.000000004
0.133	0.0000000085
0.184	0.0000000254
0.217	0.0000000545
0.239	0.0000000938
0.248	0.0000001231
0.299	0.0000004667
0.312	0.0000006328
0.33	0.000000936
0.34	0.000001477
0.003	0.0000000002
0.224	0.00000005080181087
0.233	0.00000007112253521
0.266	0.0000001828865191
0.286	0.0000003048108652
0.317	0.0000007213857143
0.328	0.000001066838028
0.373	0.000003911739437
0.405	0.000008402619517
0.414	0.00001071918209
0.462	0.00003791847163
0.483	0.0000625573499
0.5	0.00009835230584
0.51	0.0001501701529
0.54	0.0002317578612
0.561	0.0003832271094
0.587	0.0006220632055
0.6	0.0008437368111
0.61	0.001096549546
0.63	0.001596008852
0.64	0.002333893177
0.68	0.004731503384
0.688	0.00506
0.716	0.00945
0.728	0.01272
0.784	0.04545
0.811	0.0824
0.821	0.1051
0.861	0.2092
0.882	0.3069
0.895	0.4161
0.911	0.5014