V_CC,V_BB,V_B,V_C,I_B,I_C,Beta calculated,gm calculated,r_pi calculated,I_C,,vin,vc,Rb,Rc,Rin,ic,vb,ib,gm,r_pi
8.21,0.861,0.582,8.15,0.0000002804020101,0.00005067567568,180.7250799,0.001949064449,92724.01434,0.05067567568,,0.038,0.04,995000,1184,98200,0.00003378378378,0.02,0.000000183299389,0.001689189189,109111.1111
15.73,1.199,0.604,15.59,0.0000005979899497,0.0001182432432,197.7344992,0.004547817048,43478.9916,0.1182432432,,0.061,0.138,995000,1184,46750,0.0001165540541,0.035,0.0000005561497326,0.00333011583,62932.69231
8.21,1.637,0.621,7.99,0.000001028340081,0.0001858108108,180.6900404,0.007146569647,25283.46457,0.1858108108,,0.04,0.067,988000,1184,98200,0.00005658783784,0.009,0.0000003126272912,0.006084713746,29747.88274
17.04,3.187,0.643,16.46,0.000002574898785,0.0004898648649,190.2462604,0.01884095634,10097.48428,0.4898648649,,0.027,0.055,988000,1184,98200,0.0000464527027,0.006,0.0000002138492872,0.007742117117,28057.14286
6.169,1.132,0.66,5.079,0.000004806517312,0.0009206081081,191.5332971,0.03540800416,5409.322034,0.9206081081,,0.027,0.4,98200,1184,10090,0.0003378378378,0.013,0.000001387512389,0.02598752599,9369.285714
17.04,6.71,0.664,15.6,0.000006119433198,0.001216216216,198.7465467,0.04677754678,4248.75951,1.216216216,,0.027,0.06,988000,1184,98200,0.00005067567568,0.004,0.0000002342158859,0.01266891892,17078.26087
13.49,0.806,0.68,10.51,0.00001243830207,0.002516891892,202.350118,0.0968035343,2090.31746,2.516891892,,0.027,0.4,10130,1184,10090,0.0003378378378,0.007,0.000001982160555,0.04826254826,3531.5
23.44,4.016,0.687,14.54,0.00003396938776,0.007516891892,221.2842912,0.2891112266,765.3950135,7.516891892,,0.0844,6.9,98000,1184,1799,0.005827702703,0.032,0.00002912729294,0.1821157095,1098.625954
23.44,6.71,0.708,8.02,0.00006124489796,0.01302364865,212.6487117,0.5009095634,424.5251583,13.02364865,,0.0277,4.234,98000,1184,747,0.003576013514,0.012,0.00002048192771,0.2883881866,605.4117647
23.45,0.836,0.457,22.41,0.0002106725959,0.05977011494,283.710915,2.298850575,123.414248,59.77011494,,0.0186,0.135,1799,17.4,99.5,0.00775862069,0.014,0.00004623115578,0.5541871921,302.826087
23.44,0.98,0.52,21.8,0.0002556976098,0.09425287356,368.6106947,3.625110522,101.6826087,94.25287356,,0.0179,0.161,1799,17.4,99.5,0.009252873563,0.013,0.00004924623116,0.7117595049,263.9795918