Rb,Rc,Rin,V_CC (V),V_BB (V),V_CESAT,V_B,I_C,I_C (mA),I_B,I_C/I_B
502100,1184,10100,0.225,6.65,0.113,0.609,0.00009459459459,0.09459459459,0.00001203146784,7.86226551
502100,1184,10100,0.282,6.65,0.122,0.616,0.0001351351351,0.1351351351,0.00001201752639,11.24483781
502100,1184,10100,0.422,6.65,0.138,0.629,0.0002398648649,0.2398648649,0.00001199163513,20.00268205
502100,1184,10100,0.732,6.65,0.161,0.649,0.0004822635135,0.4822635135,0.00001195180243,40.35069324
98200,1184,10100,1.031,1.771,0.18,0.658,0.00071875,0.71875,0.00001133401222,63.41531896
98200,1184,10120,2.254,3.029,0.178,0.68,0.001753378378,1.753378378,0.00002392057026,73.30002416
98200,1184,10100,4.233,3.638,0.205,0.7,0.003402027027,3.402027027,0.0000299185336,113.7096848
98200,1184,10100,11.07,6.65,0.258,0.73,0.009131756757,9.131756757,0.00006028513238,151.4761003
23770,888,99.5,23.51,6.64,0.338,0.772,0.02609459459,26.09459459,0.0002468657972,105.703564
5043,329.7,99.5,24.12,6.63,0.41,0.838,0.07191386109,71.91386109,0.001148522705,62.61422677
996,71,99.5,10.49,6.58,0.506,0.91,0.1406197183,140.6197183,0.005692771084,24.70145316
5043,594,10100,24.15,2.59,0.338,0.796,0.04008754209,40.08754209,0.0003557406306,112.6875556
5043,594,10100,11.39,1.5,0.271,0.745,0.01871885522,18.71885522,0.0001497124727,125.0320356