Frequency [kHz]	vout [V]	 vin [mV]	av	dB	Phase (in to out)	Phase (out to in)
1	1.018	56.8	17.92253521	25.06798885	-89	89
1.5	1.048	40	26.2	28.36602583	-83	83
2	1.145	33.3	34.38438438	30.72722506	-76	76
3	1.106	22.2	49.81981982	33.94804305	-68	68
4	1.205	19.2	62.76041667	35.95371636	-59	59
6.4	1.637	19.2	85.26041667	38.61494901	-44	44
10	1.971	19.15	102.924282	40.25035692	-29	29
15	2.177	19.2	113.3854167	41.09114401	-17	17
20	2.534	21.2	119.5283019	41.54941499	-9.4	9.4
30	2.636	21.4	123.1775701	41.81063265	-2.5	2.5
50	2.66	21.6	123.1481481	41.80855771	3	-3
100	2.675	21.8	122.706422	41.77734586	7	-7
200	2.666	22	121.1818182	41.66874929	12	-12
300	2.646	21.9	120.8219178	41.6429145	14	-14
500	2.595	21.8	119.0366972	41.51361737	20	-20
1000	2.41	21.4	112.6168224	41.03206538	32	-32
2000	3.239	34.9	92.80802292	39.35171042	55	-55
3000	2.59	33.9	76.40117994	37.66200132	66	-66
5000	2.53	50.7	49.90138067	33.96225124	83	-83
7500	2.111	62.3	33.88443018	30.60000373	95	-95
10000	1.52	59.4	25.58922559	28.16114286	102	-102
15000	1.049	62.6	16.7571885	24.4840231	114	-114
20000	1.133	119.6	9.473244147	19.5299746	121	-121